cik,primarysymbol,companyname,industry,sector,siccode,websiteurl,lastannualtotalassets,lastannualrevenue,lastannualnetincome,lastannualeps,totalsharesoutstandingdate
1163302,X,UNITED STATES STEEL CORP,Steel,Basic Materials,3312,www.ussteel.com,9160000000,10261000000,-440000000,-2.81,4/20/2017 0:00
1039101,LLL,"L3 TECHNOLOGIES, INC.",Aerospace & Defense,Industrials,3663,,11865000000,10511000000,710000000,9.01,4/21/2017 0:00
827052,EIX,EDISON INTERNATIONAL,Electric Utilities,Utilities,4911,www.edison.com,51319000000,11869000000,1434000000,3.97,4/28/2017 0:00
8670,ADP,AUTOMATIC DATA PROCESSING INC,IT Services & Consulting,Technology,7374,http://www.adp.com,43670000000,11667800000,1492500000,3.25,4/28/2017 0:00
883980,FDC,FIRST DATA CORP,Business Support Services,Industrials,7389,http://www.firstdatacorp.com,40292000000,11584000000,420000000,0.46,5/1/2017 0:00
1364742,BLK,BLACKROCK INC.,Investment Management & Fund Operators,Financials,6211,,2.20177E+11,0,3172000000,19.04,4/30/2017 0:00
1636023,WRK,WESTROCK CO,Paper Packaging,Basic Materials,2650,,23038200000,14171800000,-396300000,-1.54,4/24/2017 0:00
1535929,VOYA,"VOYA FINANCIAL, INC.",Life & Health Insurance,Financials,6311,www.ing.us,2.14235E+11,10782200000,-428000000,-2.13,4/28/2017 0:00
89800,SHW,SHERWIN WILLIAMS CO,Commodity Chemicals,Basic Materials,5200,http://www.sherwin-williams.com,6752521000,11855602000,1132703000,11.99,3/31/2017 0:00
1585689,HLT,HILTON WORLDWIDE HOLDINGS INC.,"Hotels, Motels & Cruise Lines",Consumer Cyclicals,7011,www.hiltonworldwide.com,26211000000,11663000000,348000000,1.05,4/26/2017 0:00
29669,RRD,RR DONNELLEY & SONS CO,Commercial Printing Services,Industrials,2750,www.rrdonnelley.com,4284700000,6895700000,-495900000,-7.09,4/28/2017 0:00
93556,SWK,"STANLEY BLACK & DECKER, INC.",Industrial Machinery & Equipment,Industrials,3420,http://www.stanleyworks.com,15634900000,11406900000,965300000,6.51,4/17/2017 0:00
72903,XEL,XCEL ENERGY INC,Electric Utilities,Utilities,4931,www.xcelenergy.com,41155277000,11106920000,1123379000,2.21,4/24/2017 0:00
